,disasterNumber,state,declarationType,incidentType,declarationTitle,incidentBeginDate,incidentEndDate,disasterCloseoutDate,designatedArea
2868,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Jones (County)
2869,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,San Saba (County)
2870,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Bee (County)
2871,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Caldwell (County)
2872,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Atascosa (County)
2873,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Blanco (County)
2874,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Travis (County)
2875,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,DeWitt (County)
2876,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Victoria (County)
2877,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Bandera (County)
2878,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Bexar (County)
2879,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Callahan (County)
2880,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Coleman (County)
2881,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Burnet (County)
2882,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Duval (County)
2883,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Goliad (County)
2884,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Gillespie (County)
2885,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Frio (County)
2886,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Gonzales (County)
2887,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Eastland (County)
2888,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Hays (County)
2889,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Guadalupe (County)
2890,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Jim Wells (County)
2891,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Comal (County)
2892,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Dimmit (County)
2893,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Brown (County)
2894,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Kerr (County)
2895,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Karnes (County)
2896,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Kendall (County)
2897,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Live Oak (County)
2898,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Real (County)
2899,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,La Salle (County)
2900,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,McMullen (County)
2901,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,San Patricio (County)
2902,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Uvalde (County)
2903,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Wilson (County)
2904,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Taylor (County)
2905,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Medina (County)
2906,1425,TX,DR,Flood,SEVERE STORMS AND FLOODING,2002-06-29T04:00:00.000Z,2002-07-31T04:00:00.000Z,2015-06-09T03:59:00.000Z,Zavala (County)
2907,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Webb (County)
2908,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Frio (County)
2909,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Jim Wells (County)
2910,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Live Oak (County)
2911,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Galveston (County)
2912,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Brazoria (County)
2913,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Matagorda (County)
2914,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Wharton (County)
2915,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,San Patricio (County)
2916,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Mary (Parish)
2917,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,Nueces (County)
2918,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,East Baton Rouge (Parish)
2919,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Iberia (Parish)
2920,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Livingston (Parish)
2921,1434,TX,DR,Coastal Storm,TROPICAL STORM FAY,2002-09-06T04:00:00.000Z,2002-09-30T04:00:00.000Z,2009-08-14T04:00:00.000Z,La Salle (County)
2922,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Assumption (Parish)
2923,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. James (Parish)
2924,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Bernard (Parish)
2925,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Lafourche (Parish)
2926,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Charles (Parish)
2927,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Orleans (Parish)
2928,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Jefferson (Parish)
2929,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Tammany (Parish)
2930,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Plaquemines (Parish)
2931,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. John the Baptist (Parish)
2932,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Terrebonne (Parish)
2933,1435,LA,DR,Hurricane,TROPICAL STORM ISIDORE,2002-09-21T04:00:00.000Z,2002-10-01T04:00:00.000Z,2015-10-01T03:59:00.000Z,Tangipahoa (Parish)
2934,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Catahoula (Parish)
2935,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Caldwell (Parish)
2936,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Grant (Parish)
2937,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Vernon (Parish)
2938,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,La Salle (Parish)
2939,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,West Feliciana (Parish)
2940,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Ouachita (Parish)
2941,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Avoyelles (Parish)
2942,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Natchitoches (Parish)
2943,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Allen (Parish)
2944,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Ascension (Parish)
2945,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Acadia (Parish)
2946,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Calcasieu (Parish)
2947,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Assumption (Parish)
2948,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Lafourche (Parish)
2949,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Lafayette (Parish)
2950,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Iberia (Parish)
2951,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,East Baton Rouge (Parish)
2952,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Cameron (Parish)
2953,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Evangeline (Parish)
2954,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Iberville (Parish)
2955,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Beauregard (Parish)
2956,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Jefferson (Parish)
2957,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Orleans (Parish)
2958,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Bernard (Parish)
2959,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Pointe Coupee (Parish)
2960,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Rapides (Parish)
2961,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Jefferson Davis (Parish)
2962,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,East Feliciana (Parish)
2963,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Livingston (Parish)
2964,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Plaquemines (Parish)
2965,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Charles (Parish)
2966,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Helena (Parish)
2967,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Landry (Parish)
2968,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. John the Baptist (Parish)
2969,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. James (Parish)
2970,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Tammany (Parish)
2971,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Terrebonne (Parish)
2972,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Washington (Parish)
2973,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,West Baton Rouge (Parish)
2974,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Vermilion (Parish)
2975,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Mary (Parish)
2976,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Brazoria (County)
2977,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,St. Martin (Parish)
2978,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Cameron (County)
2979,1437,LA,DR,Hurricane,HURRICANE LILI,2002-10-01T04:00:00.000Z,2002-10-16T04:00:00.000Z,2015-10-01T03:59:00.000Z,Tangipahoa (Parish)
2980,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Fort Bend (County)
2981,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Montgomery (County)
2982,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Jim Wells (County)
2983,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Hidalgo (County)
2984,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Jasper (County)
2985,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,San Jacinto (County)
2986,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Walker (County)
2987,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Aransas (County)
2988,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Liberty (County)
2989,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Harris (County)
2990,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Hardin (County)
2991,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Kleberg (County)
2992,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Jefferson (County)
2993,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Nueces (County)
2994,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,San Patricio (County)
2995,1439,TX,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES AND FLOODING",2002-10-24T21:30:00.000Z,2002-11-15T05:00:00.000Z,2013-03-26T04:00:00.000Z,Orange (County)
2996,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Douglas (County)
2997,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Haskell (County)
2998,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Osage (County)
2999,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Allen (County)
3000,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Cherokee (County)
3001,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Crawford (County)
3002,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Leavenworth (County)
3003,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Anderson (County)
3004,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Miami (County)
3005,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Neosho (County)
3006,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Seward (County)
3007,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Woodson (County)
3008,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Labette (County)
3009,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Meade (County)
3010,1462,KS,DR,Severe Storm(s),"SEVERE STORMS, TORNADOES, AND FLOODING",2003-05-04T18:30:00.000Z,2003-05-30T04:00:00.000Z,2011-01-05T05:00:00.000Z,Wyandotte (County)
3011,1467,NY,DR,Severe Ice Storm,ICE STORM,2003-04-03T15:49:00.000Z,2003-04-05T05:00:00.000Z,2010-11-22T05:00:00.000Z,Genesee (County)
3012,1467,NY,DR,Severe Ice Storm,ICE STORM,2003-04-03T15:49:00.000Z,2003-04-05T05:00:00.000Z,2010-11-22T05:00:00.000Z,Chenango (County)
3013,1467,NY,DR,Severe Ice Storm,ICE STORM,2003-04-03T15:49:00.000Z,2003-04-05T05:00:00.000Z,2010-11-22T05:00:00.000Z,Schenectady (County)
